,word1,word2,Sim_Lex_Similarity,Word2Vec_Similarity
0,short,long,1.23,0.9737598299980164
1,happy,mad,0.95,0.9977541565895081
2,narrow,broad,1.18,0.9990245699882507
3,wonderful,great,8.05,0.9633095860481262
4,unnecessary,necessary,0.63,0.9758198261260986
5,easy,flexible,4.1,0.9960811734199524
6,fragile,frigid,2.38,0.10029087960720062
7,happy,young,2,0.9940689206123352
8,afraid,anxious,5.07,0.9976330399513245
9,elastic,flexible,7.78,0.9947455525398254
10,fresh,wide,0.4,0.9739806056022644
11,uncle,aunt,5.5,0.9967485070228577
12,actress,actor,7.12,0.9792339205741882
13,clothes,closet,3.27,-0.2306107133626938
14,disease,infection,7.15,0.9965506792068481
15,sea,ocean,8.27,0.9681233167648315
16,music,melody,6.98,0.98841392993927
17,hound,fox,2.38,-0.2662183344364166
18,telephone,booth,3.63,-0.13046233355998993
19,decade,century,3.48,0.8137546181678772
20,arm,muscle,3.72,0.9913046360015869
21,church,choir,2.95,0.9270721077919006
22,army,legion,5.95,0.9001877903938293
23,clothes,fabric,5.87,0.9986901879310608
24,god,devil,1.8,0.9876173734664917
25,tin,aluminum,6.42,0.11106904596090317
26,wall,brick,4.68,0.9975073337554932
27,rain,mist,5.97,0.29055270552635193
28,bird,turkey,6.58,0.984373927116394
29,style,fashion,8.5,0.987021267414093
30,animal,person,3.05,0.9122915267944336
31,orthodontist,dentist,8.27,N/A
32,son,father,3.82,0.9596573114395142
33,sheep,cattle,4.77,0.9984793066978455
34,father,daughter,2.62,0.9751472473144531
35,illness,infection,6.9,0.9980481266975403
36,august,month,5.53,0.7937691807746887
37,opinion,choice,5.43,0.999035656452179
38,hill,cliff,4.28,0.991209864616394
39,emotion,passion,7.72,0.9991777539253235
40,opinion,idea,5.7,0.9976118803024292
41,science,psychology,4.92,0.9833071827888489
42,king,princess,3.27,0.8440781235694885
43,house,carpet,1.38,0.806894063949585
44,friend,guy,3.88,0.9973297715187073
45,flower,bulb,4.48,0.1598532646894455
46,room,bed,2.35,0.9951378107070923
47,attention,interest,7.22,0.9956621527671814
48,exit,doorway,5.5,-0.03277476131916046
49,wagon,carriage,7.7,0.9672206044197083
50,book,topic,2.07,0.9603883624076843
51,polyester,cotton,5.63,-0.027387447655200958
52,racket,noise,8.1,0.11288600414991379
53,man,husband,5.32,0.9972859621047974
54,boy,brother,6.67,0.9654723405838013
55,effort,difficulty,4.45,0.997772753238678
56,door,kitchen,1.67,0.9990538954734802
57,denial,confession,1.03,0.9925678968429565
58,biography,fiction,1.38,0.9161365628242493
59,fever,illness,7.65,0.9975177049636841
60,author,reader,1.6,0.9100055694580078
61,man,warrior,4.72,0.9956960082054138
62,daughter,kid,4.17,0.9832736849784851
63,apple,sauce,1.43,0.9230911731719971
64,cup,cone,3.17,0.1258220672607422
65,word,clue,2.53,0.9830894470214844
66,belly,abdomen,8.13,0.16308251023292542
67,neck,spine,5.32,0.9962811470031738
68,arm,neck,1.58,0.9979538321495056
69,nose,mouth,3.73,0.9980769157409668
70,book,theme,2.58,0.9705653786659241
71,trick,size,0.48,0.9934941530227661
72,task,woman,0.68,0.9418358206748962
73,pollution,president,0.68,0.7945871949195862
74,hole,wife,0.68,0.933957040309906
75,liquor,band,0.68,0.8827850818634033
76,princess,island,0.3,0.9546131491661072
77,go,come,2.42,0.9928756356239319
78,kill,destroy,5.9,0.9993172883987427
79,make,construct,8.33,0.9809160828590393
80,greet,meet,6.17,0.9933232665061951
81,accept,believe,6.75,0.9460279941558838
82,forget,ignore,3.07,0.05128265172243118
83,add,divide,2.3,0.9981262683868408
84,ask,pray,3.72,0.047745827585458755
85,take,possess,7.2,0.9762908220291138
86,give,deny,1.43,0.9962642192840576
87,overcome,dominate,6.25,0.9892812967300415
88,take,leave,2.47,0.9297908544540405
89,assume,predict,4.85,0.9363185167312622
90,keep,protect,5.4,0.9890868663787842
91,require,inquire,1.82,0.03359585627913475
92,owe,lend,2.32,0.9881497025489807
93,kill,defend,2.63,0.9990518093109131
94,please,entertain,5,0.9881768822669983
95,leave,wander,3.57,0.9946392178535461
96,collect,save,6.67,0.9979039430618286
97,add,build,4.92,0.990118682384491
98,investigate,pursue,7.15,-0.018973400816321373
99,absorb,withdraw,2.97,0.9893691539764404
